# pattern	class	name	how to install	what changes
#
# Linux programs that do the job of a Windows program. ENGLISH.
# This file is the DEFAULT and the fallback for every other language: a row
# missing from alternativas.<lang>.tsv is read from here.
#

*teamviewer*	nativo	TeamViewer for Linux	download it at teamviewer.com/en/download/linux/	it is the same TeamViewer, official Linux version
*anydesk*	nativo	AnyDesk for Linux	download it at anydesk.com/en/downloads/linux	it is the same AnyDesk, official Linux version
*rustdesk*	nativo	RustDesk for Linux	download it at rustdesk.com	it is the same RustDesk, official Linux version
*chrome*	nativo	Google Chrome	download it at google.com/chrome	it is the same Chrome, official Linux version
*firefox*	nativo	Firefox	already installed on Zorin	it is the same Firefox
*zoom*	nativo	Zoom for Linux	download it at zoom.us/download	it is the same Zoom, official Linux version
*skype*	nativo	Skype for Linux	sudo snap install skype	it is the same Skype, official Linux version
*spotify*	nativo	Spotify for Linux	sudo snap install spotify	it is the same Spotify, official Linux version
*vlc*	nativo	VLC	sudo apt install vlc	it is the same VLC
*obs*studio*	nativo	OBS Studio	sudo apt install obs-studio	it is the same OBS Studio
*audacity*	nativo	Audacity	sudo apt install audacity	it is the same Audacity
*blender*	nativo	Blender	sudo apt install blender	it is the same Blender
*inkscape*	nativo	Inkscape	sudo apt install inkscape	it is the same Inkscape
*gimp*	nativo	GIMP	sudo apt install gimp	it is the same GIMP
*libreoffice*	nativo	LibreOffice	already installed on Zorin	it is the same LibreOffice
*thunderbird*	nativo	Thunderbird	sudo apt install thunderbird	it is the same Thunderbird
*filezilla*	nativo	FileZilla	sudo apt install filezilla	it is the same FileZilla
*putty*	nativo	PuTTY	sudo apt install putty	it is the same PuTTY; on Linux the terminal already does SSH with no extra program
*notepad++*	parecido	Gedit, Kate or VS Code	sudo apt install gedit	edits text and code; without Notepad++'s plugins
*winrar*	parecido	Zorin's file manager	already installed	opens and creates .zip and .rar with a double click, nothing to install
*7z*	parecido	Zorin's file manager	already installed	opens and creates .zip and .7z with a double click, nothing to install
*winzip*	parecido	Zorin's file manager	already installed	opens and creates .zip with a double click, nothing to install
*acrobat*	parecido	Evince or Okular	already installed on Zorin	reads and prints PDF; does not edit or sign like the paid Acrobat
*adobereader*	parecido	Evince or Okular	already installed on Zorin	reads and prints PDF; does not edit or sign like the paid Acrobat
*photoshop*	parecido	GIMP or Krita	sudo apt install gimp krita	edits images, but it is a different program: different menus, and .psd files do not come through with everything
*coreldraw*	parecido	Inkscape	sudo apt install inkscape	vector drawing; opens .cdr with limitations and saves as .svg
*illustrator*	parecido	Inkscape	sudo apt install inkscape	vector drawing; does not open .ai with everything intact
*excel*	parecido	LibreOffice Calc	already installed on Zorin	opens and saves .xlsx; VBA macros do not work
*word*	parecido	LibreOffice Writer	already installed on Zorin	opens and saves .docx; formatting can come out different in a complex document
*powerpoint*	parecido	LibreOffice Impress	already installed on Zorin	opens and saves .pptx; complex animations can come out different
*autocad*	parecido	LibreCAD or FreeCAD	sudo apt install librecad freecad	technical drawing; LibreCAD is 2D only and FreeCAD works differently from AutoCAD
*sketchup*	parecido	FreeCAD or Blender	sudo apt install freecad	3D modelling, with a very different way of working
*ccleaner*	parecido	BleachBit	sudo apt install bleachbit	cleans temporary files; on Linux that is rarely necessary
*virtualbox*	nativo	VirtualBox for Linux	sudo apt install virtualbox	it is the same VirtualBox, and on Linux it runs much better
*wireshark*	nativo	Wireshark	sudo apt install wireshark	it is the same Wireshark
*qbittorrent*	nativo	qBittorrent	sudo apt install qbittorrent	it is the same qBittorrent
*calibre*	nativo	Calibre	sudo apt install calibre	it is the same Calibre
*handbrake*	nativo	HandBrake	sudo apt install handbrake	it is the same HandBrake
*keepass*	nativo	KeePassXC	sudo apt install keepassxc	opens the same .kdbx password file

impressora*termica	nativo	ESC/POS straight from Linux	the printer shows up as /dev/usb/lp0 or in a CUPS "raw" queue	Prints from Linux with no Android and no Wine. If the program that prints is an Android app, set it to a NETWORK printer and point it at this computer - most thermal printing apps speak over the network.
leitor*codigo*barras	nativo	it already works, install nothing	nothing to install	A barcode scanner is a keyboard. It types the code wherever the cursor is, on Linux and inside Android, with no driver at all. If it types each code TWICE inside Android, see "tandem doctor".
balanca*	nativo	read directly over the serial port	the device shows up as /dev/ttyUSB0	Toledo, Filizola and Urano speak a documented text protocol over the serial port. A Linux program reads that directly; inside Android, it cannot.
pinpad*	parecido	ACBrLib (ABECS) for Linux	https://acbr.sourceforge.io/ACBrLib/	The Brazilian ACBrLib library is compiled for Linux and implements the ABECS protocol. NOTE: the one who decides whether your pinpad may be used this way is the acquirer (Cielo, Rede, Stone), not Tandem and not the manufacturer.
