# dll	verbo	confianca	todos-os-verbos	fonte
# Gerado por tools/indice-winetricks.py a partir do winetricks
# instalado. Nao edite a mao: as decisoes ficam em winedeps.sh.
amstream.dll	amstream	baixa	amstream,directshow	ambos
api-ms-win-crt-conio-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-convert-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
api-ms-win-crt-environment-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
api-ms-win-crt-filesystem-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
api-ms-win-crt-heap-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-locale-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-math-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-multibyte-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
api-ms-win-crt-private-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-process-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
api-ms-win-crt-runtime-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-stdio-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-string-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
api-ms-win-crt-time-l1-1-0.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
api-ms-win-crt-utility-l1-1-0.dll	vcrun2015	alta	vcrun2015	override
atl100.dll	vcrun2010	alta	vcrun2010	override
atl110.dll	vcrun2012	alta	vcrun2012	ambos
atl120.dll	vcrun2013	alta	vcrun2013	override
atl140.dll	vcrun2019	alta	vcrun2015,vcrun2017,vcrun2019	override
atl80.dll	vcrun2005	alta	vcrun2005	override
atl90.dll	vcrun2008	alta	vcrun2008	override
avifil32.dll	avifil32	alta	avifil32	override
binkw32.dll	binkw32	alta	binkw32	override
cabinet.dll	cabinet	alta	cabinet	override
cmd.exe	cmd	alta	cmd	override
comctl32.dll	comctl32	alta	comctl32	override
concrt140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
crypt32.dll	crypt32	alta	crypt32,crypt32_winxp	override
cscript.exe	wsh57	alta	wsh57	override
d3dcompiler_46.dll	d3dcompiler_46	alta	d3dcompiler_46	override
d3dcompiler_47.dll	d3dcompiler_47	alta	d3dcompiler_47	override
d3drm.dll	d3drm	alta	d3drm	override
d3dx10_33.dll	d3dx10	alta	d3dx10	override
d3dx10_34.dll	d3dx10	alta	d3dx10	override
d3dx10_35.dll	d3dx10	alta	d3dx10	override
d3dx10_36.dll	d3dx10	alta	d3dx10	override
d3dx10_37.dll	d3dx10	alta	d3dx10	override
d3dx10_38.dll	d3dx10	alta	d3dx10	override
d3dx10_39.dll	d3dx10	alta	d3dx10	override
d3dx10_40.dll	d3dx10	alta	d3dx10	override
d3dx10_41.dll	d3dx10	alta	d3dx10	override
d3dx10_42.dll	d3dx10	alta	d3dx10	override
d3dx10_43.dll	d3dx10	alta	d3dx10	override
d3dx9_24.dll	d3dx9	alta	d3dx9	override
d3dx9_25.dll	d3dx9	alta	d3dx9	override
d3dx9_26.dll	d3dx9	alta	d3dx9	override
d3dx9_27.dll	d3dx9	alta	d3dx9	override
d3dx9_28.dll	d3dx9	alta	d3dx9	override
d3dx9_29.dll	d3dx9	alta	d3dx9	override
d3dx9_30.dll	d3dx9	alta	d3dx9	override
d3dx9_31.dll	d3dx9	alta	d3dx9	override
d3dx9_32.dll	d3dx9	alta	d3dx9	override
d3dx9_33.dll	d3dx9	alta	d3dx9	override
d3dx9_34.dll	d3dx9	alta	d3dx9	override
d3dx9_35.dll	d3dx9	alta	d3dx9	override
d3dx9_36.dll	d3dx9	alta	d3dx9	override
d3dx9_37.dll	d3dx9	alta	d3dx9	override
d3dx9_38.dll	d3dx9	alta	d3dx9	override
d3dx9_39.dll	d3dx9	alta	d3dx9	override
d3dx9_40.dll	d3dx9	alta	d3dx9	override
d3dx9_41.dll	d3dx9	alta	d3dx9	override
d3dx9_42.dll	d3dx9	alta	d3dx9	override
d3dx9_43.dll	d3dx9	alta	d3dx9	override
d3dxof.dll	d3dxof	alta	d3dxof	override
dbghelp.dll	dbghelp	alta	dbghelp	override
ddraw.dll	cnc_ddraw	alta	cnc_ddraw	override
devenum.dll	devenum	alta	devenum	override
dinput.dll	dinput	alta	dinput	override
dinput8.dll	dinput8	alta	dinput8	override
dmband.dll	dmband	alta	dmband	override
dmcompos.dll	dmcompos	alta	dmcompos	override
dmime.dll	dmime	alta	dmime	override
dmloader.dll	dmloader	alta	dmloader	override
dmscript.dll	dmscript	alta	dmscript	override
dmstyle.dll	dmstyle	alta	dmstyle	override
dmsynth.dll	dmsynth	alta	dmsynth	override
dmusic.dll	dmusic	alta	dmusic	override
dmusic32.dll	dmusic32	alta	dmusic32	override
dplaysvr.exe	directplay	alta	directplay	override
dplayx.dll	directplay	alta	directplay	override
dpmodemx.dll	directplay	alta	directplay	override
dpnet.dll	directplay	alta	directplay	override
dpnhpast.dll	directplay	alta	directplay	override
dpnhupnp.dll	directplay	alta	directplay	override
dpnsvr.exe	directplay	alta	directplay	override
dpvacm.dll	dpvoice	alta	dpvoice	override
dpvoice.dll	dpvoice	alta	dpvoice	override
dpvvox.dll	dpvoice	alta	dpvoice	override
dpwsockx.dll	directplay	alta	directplay	override
dsound.dll	dsound	alta	dsound	override
dswave.dll	dswave	alta	dswave	override
dx8vb.dll	dx8vb	alta	dx8vb	override
dxdiag.exe	dxdiag	alta	dxdiag	override
dxdiagn.dll	dxdiagn_feb2010	baixa	dxdiagn,dxdiagn_feb2010	override
dxtrans.dll	dxtrans	alta	dxtrans	override
esent.dll	esent	alta	esent	override
fusion.dll	dotnet11	alta	dotnet11	override
gdiplus.dll	gdiplus	baixa	gdiplus,gdiplus_winxp	override
hid.dll	hid	alta	hid	override
iccvid.dll	cinepak	alta	cinepak	override
ieframe.dll	ie8	alta	ie7,ie8	override
ieproxy.dll	ie8	alta	ie7,ie8	override
iertutil.dll	iertutil	alta	iertutil	override
iexplore.exe	ie8	alta	ie6,ie7,ie8	override
inetcpl.cpl.dll	ie6	alta	ie6	override
inseng.dll	ie6	alta	ie6	override
ir50_32.dll	icodecs	alta	icodecs	override
itircl.dll	ie8	baixa	ie6,ie7,ie8,itircl	override
itss.dll	ie8	baixa	ie6,ie7,ie8,itss	override
jscript.dll	ie8	baixa	ie6,ie7,ie8,wsh57	override
l3codeca.acm.dll	wmp9	alta	wmp10,wmp11,wmp9	override
mf.dll	mf	alta	mf	override
mfc100.dll	vcrun2010	alta	vcrun2010	titulo
mfc110.dll	vcrun2012	alta	vcrun2012	titulo
mfc110u.dll	vcrun2012	alta	vcrun2012	titulo
mfc120.dll	vcrun2013	alta	vcrun2013	titulo
mfc120u.dll	vcrun2013	alta	vcrun2013	titulo
mfc140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfc140chs.dll	vcrun2022	alta	vcrun2022	titulo
mfc140cht.dll	vcrun2022	alta	vcrun2022	titulo
mfc140deu.dll	vcrun2022	alta	vcrun2022	titulo
mfc140enu.dll	vcrun2022	alta	vcrun2022	titulo
mfc140esn.dll	vcrun2022	alta	vcrun2022	titulo
mfc140fra.dll	vcrun2022	alta	vcrun2022	titulo
mfc140ita.dll	vcrun2022	alta	vcrun2022	titulo
mfc140jpn.dll	vcrun2022	alta	vcrun2022	titulo
mfc140kor.dll	vcrun2022	alta	vcrun2022	titulo
mfc140rus.dll	vcrun2022	alta	vcrun2022	titulo
mfc140u.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfc42.dll	vcrun6	alta	vcrun6	titulo
mfc71.dll	vcrun2003	alta	vcrun2003	titulo
mfc80.dll	vcrun2005	alta	vcrun2005	titulo
mfc90.dll	vcrun2008	alta	vcrun2008	titulo
mfcm140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfcm140u.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfplat.dll	wmp11	alta	wmp11	override
mlang.dll	ie6	alta	ie6	override
msaatext.dll	msaa	alta	msaa	ambos
msacm32.dll	msacm32	alta	msacm32	override
msado15.dll	native_mdac	alta	native_mdac	override
mscoree.dll	dotnet48	alta	dotnet35,dotnet35sp1,dotnet40,dotnet45,dotnet452,dotnet46,dotnet461,dotnet462,dotnet471,dotnet472,dotnet48	override
mscorwks.dll	dotnet35	alta	dotnet11,dotnet11sp1,dotnet20,dotnet20sp1,dotnet20sp2,dotnet30,dotnet30sp1,dotnet35,dotnet35sp1	override
msctf.dll	ie8	baixa	ie8,msctf	override
msdasql.dll	native_mdac	alta	native_mdac	override
msdelta.dll	msdelta	alta	msdelta	override
msftedit.dll	msftedit	alta	msftedit	override
mshtml.dll	ie8	alta	ie6,ie7,ie8	override
msimtf.dll	ie7	alta	ie6,ie7	override
msls31.dll	riched30	alta	riched30	titulo
mspatcha.dll	mspatcha	alta	mspatcha	override
msvcirt.dll	vcrun6	alta	vcrun6	titulo
msvcm80.dll	vcrun2005	alta	vcrun2005	override
msvcm90.dll	vcrun2008	alta	vcrun2008	override
msvcp100.dll	vcrun2010	alta	vcrun2010	ambos
msvcp110.dll	vcrun2012	alta	vcrun2012	ambos
msvcp120.dll	vcrun2013	alta	vcrun2013	ambos
msvcp140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_1.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_2.dll	vcrun2022	alta	vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_atomic_wait.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_codecvt_ids.dll	vcrun2022	alta	vcrun2019,vcrun2022	ambos
msvcp60.dll	vcrun6	alta	vcrun6	titulo
msvcp71.dll	vcrun2003	alta	vcrun2003	titulo
msvcp80.dll	vcrun2005	alta	vcrun2005	ambos
msvcp90.dll	vcrun2008	alta	vcrun2008	ambos
msvcr100.dll	vcrun2010	alta	vcrun2010	ambos
msvcr110.dll	vcrun2012	alta	vcrun2012	ambos
msvcr120.dll	vcrun2013	alta	vcrun2013	ambos
msvcr71.dll	vcrun2003	alta	vcrun2003	titulo
